Codigo EAFIT,Nombre Programa EAFIT,ESTADO_PROGRAMA,CAMPO_AMPLIO,NIVEL_DE_FORMACIÓN
13535,especializacion en economia de la empresa,inactivo,administracion de empresas y derecho,Especialización universitaria
11469,especializacion en estudios politicos,activo,ciencias sociales periodismo e informacion,Especialización universitaria
11490,especializacion en estudios urbanos,inactivo,ingenieria industria y construccion,Especialización universitaria
11467,especializacion en filosofia y psicoanalisis,inactivo,arte y humanidades,Especialización universitaria
16052,especializacion en finanzas,activo,administracion de empresas y derecho,Especialización universitaria
118132,especializacion en finanzas sostenibles,activo,administracion de empresas y derecho,Especialización universitaria
4837,especializacion en geologia cartografia geologica,inactivo,arte y humanidades,Especialización universitaria
54879,especializacion en gerencia de diseno de producto,activo,administracion de empresas y derecho,Especialización universitaria
1259,especializacion en gerencia de entidades de desarrollo social,inactivo,administracion de empresas y derecho,Especialización universitaria
101586,especializacion en gerencia de instituciones de la salud,activo,administracion de empresas y derecho,Especialización universitaria
1258,especializacion en gerencia de la calidad,inactivo,administracion de empresas y derecho,Especialización universitaria
54708,especializacion en gerencia de la calidad,inactivo,administracion de empresas y derecho,Especialización universitaria
102670,especializacion en gerencia de negocios internacionales,activo,administracion de empresas y derecho,Especialización universitaria
52427,especializacion en gerencia del desarrollo,inactivo,administracion de empresas y derecho,Especialización universitaria
1256,especializacion en gerencia del desarrollo humano,activo,administracion de empresas y derecho,Especialización universitaria
14210,especializacion en gerencia estrategica de costos,inactivo,administracion de empresas y derecho,Especialización universitaria
54600,especializacion en gerencia estrategica de costos,inactivo,administracion de empresas y derecho,Especialización universitaria
1257,especializacion en gerencia hospitalaria,inactivo,administracion de empresas y derecho,Especialización universitaria
14869,especializacion en gestion de la construccion,activo,administracion de empresas y derecho,Especialización universitaria
52696,especializacion en gestion de pymes,inactivo,administracion de empresas y derecho,Especialización universitaria
102964,especializacion en gestion publica municipal,inactivo,administracion de empresas y derecho,Especialización universitaria
102437,especializacion en gestion sostenible de procesos industriales,activo,ingenieria industria y construccion,Especialización universitaria
102966,especializacion en gestion tributaria internacional,activo,administracion de empresas y derecho,Especialización universitaria
117825,especializacion en gobierno y gestion publica territorial,activo,ciencias sociales periodismo e informacion,Especialización universitaria
11472,especializacion en hermeneutica literaria,inactivo,arte y humanidades,Especialización universitaria
1264,especializacion en ingenieria sismo resistente,activo,ingenieria industria y construccion,Especialización universitaria
1253,especializacion en instituciones financieras,inactivo,administracion de empresas y derecho,Especialización universitaria
10861,especializacion en logica y filosofia,inactivo,arte y humanidades,Especialización universitaria
1263,especializacion en los procesos de transformacion del plastico y del caucho,activo,ingenieria industria y construccion,Especialización universitaria
5312,especializacion en manejo integrado de zonas litorales,inactivo,ciencias naturales matematicas y estadistica,Especialización universitaria
14021,especializacion en mantenimiento industrial,activo,ingenieria industria y construccion,Especialización universitaria
53048,especializacion en mantenimiento industrial,inactivo,ingenieria industria y construccion,Especialización universitaria
53641,especializacion en mecanica computacional,inactivo,ingenieria industria y construccion,Especialización universitaria
10703,especializacion en mecanica de suelos y cimentaciones,activo,ingenieria industria y construccion,Especialización universitaria
52431,especializacion en mercadeo,activo,administracion de empresas y derecho,Especialización universitaria
54709,especializacion en mercadeo,inactivo,administracion de empresas y derecho,Especialización universitaria
1255,especializacion en mercadeo internacional,inactivo,ingenieria industria y construccion,Especialización universitaria
53418,especializacion en negocios internacionales,inactivo,administracion de empresas y derecho,Especialización universitaria
11862,especializacion en organizacion industrial y regulacion economica,inactivo,servicios,Especialización universitaria
9950,especializacion en produccion,inactivo,administracion de empresas y derecho,Especialización universitaria
53548,especializacion en rediseno de productos,activo,ingenieria industria y construccion,Especialización universitaria
106449,especializacion en responsabilidad civil,activo,administracion de empresas y derecho,Especialización universitaria
10221,especializacion en responsabilidad civil y seguros,inactivo,administracion de empresas y derecho,Especialización universitaria
11471,especializacion en semiotica de la interaccion comunicativa,inactivo,arte y humanidades,Especialización universitaria
1261,especializacion en sistemas de informacion,activo,tecnologias de la informacion y la comunicacion tic,Especialización universitaria
1262,especializacion en tecnicas computarizadas de produccion,inactivo,ingenieria industria y construccion,Especialización universitaria
16743,especializacion en tecnologias de informacion para la educacion,inactivo,tecnologias de la informacion y la comunicacion tic,Especialización universitaria
8506,especializacion en teleinformatica redes de datos y sistemas distribuidos,inactivo,tecnologias de la informacion y la comunicacion tic,Especialización universitaria
90977,especializacion en turbomaquinas,activo,ingenieria industria y construccion,Especialización universitaria
